mutual_information,reg_method
0.464726,EasyReg
0.494196,EasyReg
0.506131,EasyReg
0.581153,EasyReg
0.664982,EasyReg
0.581689,EasyReg
0.522894,EasyReg
0.481086,EasyReg
0.453137,EasyReg
0.489578,EasyReg
0.496222,EasyReg
0.444594,EasyReg
0.45129,EasyReg
0.445119,EasyReg
0.566338,EasyReg
0.393436,EasyReg
0.404971,EasyReg
0.540481,EasyReg
0.59366,EasyReg
0.585514,EasyReg
0.49824,EasyReg
0.32631,EasyReg
0.539524,EasyReg
0.499542,EasyReg
0.515925,EasyReg
0.461881,EasyReg
0.495858,EasyReg
0.489285,EasyReg
0.450305,EasyReg
0.529161,EasyReg
0.568613,EasyReg
0.622748,EasyReg
0.598232,EasyReg
0.620951,EasyReg
0.603144,EasyReg
0.601739,EasyReg
0.536664,EasyReg
0.537525,EasyReg
0.526315,EasyReg
0.532212,EasyReg
0.576522,EasyReg
0.556085,EasyReg
0.550191,EasyReg
0.415296,EasyReg
0.469315,EasyReg
0.474247,EasyReg
0.489003,ANTs
0.499481,ANTs
0.523841,ANTs
0.510943,ANTs
0.674886,ANTs
0.596121,ANTs
0.556848,ANTs
0.545533,ANTs
0.458883,ANTs
0.497913,ANTs
0.52031,ANTs
0.504977,ANTs
0.465714,ANTs
0.461355,ANTs
0.568913,ANTs
0.410248,ANTs
0.413664,ANTs
0.53624,ANTs
0.601775,ANTs
0.618679,ANTs
0.592294,ANTs
0.369308,ANTs
0.550048,ANTs
0.515284,ANTs
0.541503,ANTs
0.505557,ANTs
0.477571,ANTs
0.482566,ANTs
0.450914,ANTs
0.536931,ANTs
0.602129,ANTs
0.646773,ANTs
0.651267,ANTs
0.660748,ANTs
0.6337,ANTs
0.620824,ANTs
0.546088,ANTs
0.579258,ANTs
0.548613,ANTs
0.53356,ANTs
0.561515,ANTs
0.576833,ANTs
0.541079,ANTs
0.419088,ANTs
0.44138,ANTs
0.430492,ANTs
0.599294,ANTs+WD
0.507583,ANTs+WD
0.659007,ANTs+WD
0.546072,ANTs+WD
0.741439,ANTs+WD
0.597106,ANTs+WD
0.559206,ANTs+WD
0.670822,ANTs+WD
0.565962,ANTs+WD
0.624407,ANTs+WD
0.611245,ANTs+WD
0.567781,ANTs+WD
0.569755,ANTs+WD
0.470408,ANTs+WD
0.57844,ANTs+WD
0.530042,ANTs+WD
0.552167,ANTs+WD
0.599742,ANTs+WD
0.565488,ANTs+WD
0.656764,ANTs+WD
0.632135,ANTs+WD
0.384523,ANTs+WD
0.569981,ANTs+WD
0.536136,ANTs+WD
0.548114,ANTs+WD
0.53379,ANTs+WD
0.501721,ANTs+WD
0.502851,ANTs+WD
0.45315,ANTs+WD
0.554318,ANTs+WD
0.613643,ANTs+WD
0.663874,ANTs+WD
0.656197,ANTs+WD
0.668735,ANTs+WD
0.604987,ANTs+WD
0.565852,ANTs+WD
0.562032,ANTs+WD
0.581116,ANTs+WD
0.572306,ANTs+WD
0.63079,ANTs+WD
0.581021,ANTs+WD
0.50708,ANTs+WD
0.55911,ANTs+WD
0.426241,ANTs+WD
0.458404,ANTs+WD
0.427106,ANTs+WD
